;dominio;jornal;main;to_collect
256;p3.publico.pt/noticia;Publico;FALSE;FALSE
257;p3srv1.publico.pt/noticia;Publico;FALSE;FALSE
258;parceiros.publico.pt/noticia;Publico;FALSE;FALSE
259;patrocinar.publico.pt/noticia;Publico;FALSE;FALSE
260;pdf.publico.pt/noticia;Publico;FALSE;FALSE
261;pesquisas.publico.pt/noticia;Publico;FALSE;FALSE
262;pet.publico.pt/noticia;Publico;FALSE;FALSE
263;plus.publico.clix.pt/noticia;Publico;FALSE;FALSE
264;plus.publico.pt/noticia;Publico;FALSE;FALSE
265;podium.publico.clix.pt/noticia;Publico;FALSE;FALSE
266;podium.publico.pt/noticia;Publico;FALSE;FALSE
267;praias.publico.pt/noticia;Publico;FALSE;FALSE
268;promocoes.publico.pt/noticia;Publico;FALSE;FALSE
269;s.publico.pt/noticia;Publico;FALSE;FALSE
270;sa.publico.pt/noticia;Publico;FALSE;FALSE
271;secure.publico.clix.pt/noticia;Publico;FALSE;FALSE
272;sequeira.publico.pt/noticia;Publico;FALSE;FALSE
273;static.publico.clix.pt/noticia;Publico;FALSE;FALSE
274;static.publico.pt/noticia;Publico;FALSE;FALSE
275;stream.publico.pt/noticia;Publico;FALSE;FALSE
276;tempo.publico.clix.pt/noticia;Publico;FALSE;FALSE
277;tempo.publico.pt/noticia;Publico;FALSE;FALSE
278;tracker.publico.pt/noticia;Publico;FALSE;FALSE
279;trofeu.publico.pt/noticia;Publico;FALSE;FALSE
280;tv.publico.clix.pt/noticia;Publico;FALSE;FALSE
281;ultimahora.publico.clix.pt/noticia;Publico;FALSE;FALSE
282;ultimahora.publico.pt/noticia;Publico;FALSE;FALSE
283;ultraleve.publico.pt/noticia;Publico;FALSE;FALSE
284;uol.publico.pt/noticia;Publico;FALSE;FALSE
285;viagens.publico.pt/noticia;Publico;FALSE;FALSE
286;videos.publico.clix.pt/noticia;Publico;FALSE;FALSE
287;videos.publico.pt/noticia;Publico;FALSE;FALSE
288;webmail.publico.pt/noticia;Publico;FALSE;FALSE
289;ww2.publico.clix.pt/noticia;Publico;FALSE;FALSE
290;ww2.publico.pt/noticia;Publico;FALSE;FALSE
291;publico.pt/2019;Publico;FALSE;FALSE
292;publico.clix.pt/2019;Publico;FALSE;FALSE
293;30segundos.publico.pt/2019;Publico;FALSE;FALSE
294;a.publico.pt/2019;Publico;FALSE;FALSE
295;acervo.publico.pt/2019;Publico;FALSE;FALSE
296;anuncios.publico.pt/2019;Publico;FALSE;FALSE
297;api.publico.pt/2019;Publico;FALSE;FALSE
298;arte.publico.pt/2019;Publico;FALSE;FALSE
299;assinaturas.publico.pt/2019;Publico;FALSE;FALSE
300;astronomia.publico.pt/2019;Publico;FALSE;FALSE
301;backoffice.cidades.publico.pt/2019;Publico;FALSE;FALSE
302;banners.publico.pt/2019;Publico;FALSE;FALSE
303;bd.publico.pt/2019;Publico;FALSE;FALSE
304;beta.publico.pt/2019;Publico;FALSE;FALSE
